what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1332218629969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332218653616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332218669183
activated,view,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.explorer",1332218706329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332218720721
opened,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1332218742063
activated,editor,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.editor",1332218742085
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332218742202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332218744395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332218750486
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1332218752203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332218753915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332218765166
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1332218765192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332218766449
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332218778250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332218793239
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332218800974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332218823554
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1332218830873
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332218836522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332218860334
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332218867228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332218871986
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332218883662
activated,view,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.explorer",1332218890200
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332218893779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332218901649
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332218910203
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1332218921207
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1332218921243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332218921277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332218925516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332218929104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1332218931906
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332218932989
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332218952102
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332218966907
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332218972443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332218981694
activated,view,org.eclipse.php.ui,3.0.1.v201201110400,"org.eclipse.php.ui.explorer",1332218985897
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1332218986104
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1332218986145
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332218999203
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1332219025914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332220240896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332231177914
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332231305778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332231532708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1332231536107
